game_date,home_team,away_team,home_score,away_score
2024-09-07,FC Westchester,Valeo Futbol Club,5,1
2024-09-07,Metropolitan Oval,New York City FC,2,4
2024-09-07,New York SC,FA Euro New York,2,2
2024-09-07,Cedar Stars Academy Bergen,Seacoast United,2,2
2024-09-07,Long Island Soccer Club,Beachside of Connecticut,0,4
2024-09-07,Downtown United Soccer Club,FC Greater Boston Bolts,1,2
2024-09-07,Bayside FC,New England Revolution,1,1
2024-09-08,Cedar Stars Academy Bergen,Valeo Futbol Club,2,0
2024-09-08,FC Westchester,Seacoast United,2,3
2024-09-08,NEFC,New England Revolution,2,5
2024-09-08,Metropolitan Oval,New York SC,3,5
2024-09-08,FA Euro New York,FC Greater Boston Bolts,0,4
2024-09-08,Blau Weiss Gottschee,New York City FC,1,0
2024-09-14,IFA,New England Revolution,2,6
2024-09-14,Long Island Soccer Club,Valeo Futbol Club,4,0
2024-09-14,FA Euro New York,NEFC,0,2
2024-09-14,New York City FC,Seacoast United,3,2
2024-09-14,Downtown United Soccer Club,New York SC,2,1
2024-09-14,Cedar Stars Academy Bergen,FC Westchester,6,1
2024-09-14,Oakwood Soccer Club,Rochester NY FC,1,3
2024-09-14,Bayside FC,Beachside of Connecticut,0,4
2024-09-14,Long Island Soccer Club,Seacoast United,3,2
2024-09-15,Bayside FC,Blau Weiss Gottschee,0,1
2024-09-15,Oakwood Soccer Club,Metropolitan Oval,0,4
2024-09-15,New York City FC,Valeo Futbol Club,9,0
2024-09-15,FC Greater Boston Bolts,Beachside of Connecticut,1,3
2024-09-21,FC Greater Boston Bolts,New England Revolution,1,3
2024-09-21,NEFC,FC Westchester,1,2
2024-09-21,Rochester NY FC,New York City FC,0,2
2024-09-21,IFA,Blau Weiss Gottschee,2,2
2024-09-21,New York SC,Long Island Soccer Club,1,2
2024-09-21,Valeo Futbol Club,FA Euro New York,1,3
2024-09-21,Beachside of Connecticut,Downtown United Soccer Club,1,1
2024-09-22,NEFC,Blau Weiss Gottschee,1,1
2024-09-22,FC Greater Boston Bolts,IFA,2,1
2024-09-22,Bayside FC,Cedar Stars Academy Bergen,1,6
2024-09-22,New England Revolution,FA Euro New York,5,0
2024-09-28,Downtown United Soccer Club,FA Euro New York,4,1
2024-09-28,Oakwood Soccer Club,NEFC,1,1
2024-09-28,Metropolitan Oval,Bayside FC,4,0
2024-09-28,Valeo Futbol Club,New York SC,0,6
2024-09-28,IFA,Seacoast United,4,2
2024-09-28,Blau Weiss Gottschee,Rochester NY FC,2,1
2024-09-28,Cedar Stars Academy Bergen,Beachside of Connecticut,2,0
2024-09-28,New York City FC,Long Island Soccer Club,4,1
2024-09-29,Blau Weiss Gottschee,Beachside of Connecticut,1,4
2024-09-29,New England Revolution,New York SC,1,0
2024-09-29,FC Westchester,Rochester NY FC,1,2
2024-09-29,Metropolitan Oval,Downtown United Soccer Club,1,1
2024-10-05,NEFC,Seacoast United,2,2
2024-10-05,New York SC,Blau Weiss Gottschee,1,3
2024-10-05,Cedar Stars Academy Bergen,Oakwood Soccer Club,5,0
2024-10-05,Downtown United Soccer Club,Rochester NY FC,2,2
2024-10-05,New York City FC,FC Westchester,5,0
2024-10-05,Valeo Futbol Club,FC Greater Boston Bolts,0,4
2024-10-05,NEFC,FC Greater Boston Bolts,3,1
2024-10-06,Long Island Soccer Club,Oakwood Soccer Club,3,1
2024-10-06,Seacoast United,Metropolitan Oval,1,1
2024-10-06,Beachside of Connecticut,FA Euro New York,6,0
2024-10-06,Cedar Stars Academy Bergen,New York City FC,2,0
2024-10-06,Downtown United Soccer Club,FC Westchester,0,4
2024-10-19,Rochester NY FC,FA Euro New York,2,1
2024-10-19,Seacoast United,Downtown United Soccer Club,2,3
2024-10-19,Valeo Futbol Club,New England Revolution,1,7
2024-10-19,IFA,FC Westchester,1,3
2024-10-19,Metropolitan Oval,Blau Weiss Gottschee,5,3
2024-10-19,FC Greater Boston Bolts,New York City FC,0,2
2024-10-19,NEFC,Beachside of Connecticut,1,3
2024-10-20,FC Greater Boston Bolts,FC Westchester,0,3
2024-10-20,Rochester NY FC,Bayside FC,3,1
2024-10-20,IFA,New York City FC,1,3
2024-10-20,Seacoast United,New England Revolution,2,2
2024-10-20,Oakwood Soccer Club,New York SC,1,1
2024-10-26,FC Westchester,Beachside of Connecticut,0,4
2024-10-26,Metropolitan Oval,IFA,2,2
2024-10-26,Blau Weiss Gottschee,Oakwood Soccer Club,8,0
2024-10-26,FC Greater Boston Bolts,Valeo Futbol Club,1,0
2024-10-26,FA Euro New York,New York SC,1,1
2024-10-27,New York City FC,Rochester NY FC,7,0
2024-10-27,FA Euro New York,Long Island Soccer Club,2,4
2024-10-27,Beachside of Connecticut,Oakwood Soccer Club,3,0
2024-10-27,New York SC,Downtown United Soccer Club,1,0
2024-10-27,Bayside FC,Valeo Futbol Club,2,0
2024-11-03,IFA,Valeo Futbol Club,9,1
2024-11-02,New York SC,NEFC,0,2
2024-11-02,Rochester NY FC,Cedar Stars Academy Bergen,0,3
2024-11-02,FC Westchester,New York City FC,1,3
2024-11-02,Metropolitan Oval,FC Greater Boston Bolts,7,2
2024-11-02,Downtown United Soccer Club,Long Island Soccer Club,5,2
2024-11-02,Beachside of Connecticut,Blau Weiss Gottschee,0,1
2024-11-02,Oakwood Soccer Club,Seacoast United,1,2
2024-11-03,Metropolitan Oval,NEFC,8,2
2024-11-03,Rochester NY FC,New England Revolution,1,2
2024-11-03,New York SC,FC Greater Boston Bolts,3,1
2024-11-03,Downtown United Soccer Club,Bayside FC,1,0
